sample-id	filename	direction
1001-M-D00-P	1001-M-D00-P_S85_L001_R2_001.fastq.gz	reverse
1002C-M-D00-P	1002C-M-D00-P_S12_L001_R2_001.fastq.gz	reverse
1002-M-D00-P-A	1002-M-D00-P-A_S8_L001_R2_001.fastq.gz	reverse
1002-M-D00-P-B	1002-M-D00-P-B_S45_L001_R2_001.fastq.gz	reverse
1003-M-D00-P	1003-M-D00-P_S58_L001_R2_001.fastq.gz	reverse
1005-M-D00-P	1005-M-D00-P_S53_L001_R2_001.fastq.gz	reverse
1006C-M-D00-V	1006C-M-D00-V_S30_L001_R2_001.fastq.gz	reverse
1007C-M-D00-P	1007C-M-D00-P_S109_L001_R2_001.fastq.gz	reverse
1007-M-D00-P	1007-M-D00-P_S3_L001_R2_001.fastq.gz	reverse
1007-M-D00-V	1007-M-D00-V_S4_L001_R2_001.fastq.gz	reverse
1009C-M-D00-P	1009C-M-D00-P_S64_L001_R2_001.fastq.gz	reverse
1009C-M-D00-V	1009C-M-D00-V_S43_L001_R2_001.fastq.gz	reverse
1011-M-D00-P	1011-M-D00-P_S73_L001_R2_001.fastq.gz	reverse
1012C-M-D00-P	1012C-M-D00-P_S159_L001_R2_001.fastq.gz	reverse
1012-M-D00-P	1012-M-D00-P_S28_L001_R2_001.fastq.gz	reverse
1012-M-D00-V	1012-M-D00-V_S41_L001_R2_001.fastq.gz	reverse
1014C-M-D00-P	1014C-M-D00-P_S65_L001_R2_001.fastq.gz	reverse
1015C-M-D00-P	1015C-M-D00-P_S97_L001_R2_001.fastq.gz	reverse
1016C-M-D00-P	1016C-M-D00-P_S77_L001_R2_001.fastq.gz	reverse
1016C-M-D00-V	1016C-M-D00-V_S37_L001_R2_001.fastq.gz	reverse
1016-M-D00-P	1016-M-D00-P_S40_L001_R2_001.fastq.gz	reverse
1017C-M-D00-P	1017C-M-D00-P_S2_L001_R2_001.fastq.gz	reverse
1017-M-D00-P	1017-M-D00-P_S83_L001_R2_001.fastq.gz	reverse
1017-M-D00-V	1017-M-D00-V_S86_L001_R2_001.fastq.gz	reverse
1018-M-D00-P	1018-M-D00-P_S78_L001_R2_001.fastq.gz	reverse
1019C-M-D00-P	1019C-M-D00-P_S94_L001_R2_001.fastq.gz	reverse
1020-M-D00-P	1020-M-D00-P_S15_L001_R2_001.fastq.gz	reverse
1021C-M-D00-P	1021C-M-D00-P_S27_L001_R2_001.fastq.gz	reverse
1021-M-D00-P	1021-M-D00-P_S134_L001_R2_001.fastq.gz	reverse
1021-M-D00-V	1021-M-D00-V_S49_L001_R2_001.fastq.gz	reverse
1022C-M-D00-P	1022C-M-D00-P_S157_L001_R2_001.fastq.gz	reverse
1022-M-D00-P	1022-M-D00-P_S20_L001_R2_001.fastq.gz	reverse
1023-M-D00-P	1023-M-D00-P_S19_L001_R2_001.fastq.gz	reverse
1024C-M-D00-P	1024C-M-D00-P_S57_L001_R2_001.fastq.gz	reverse
1024-M-D00-P	1024-M-D00-P_S82_L001_R2_001.fastq.gz	reverse
1025C-M-D00-P	1025C-M-D00-P_S183_L001_R2_001.fastq.gz	reverse
1026C-M-D00-P	1026C-M-D00-P_S89_L001_R2_001.fastq.gz	reverse
1026C-M-D00-V	1026C-M-D00-V_S68_L001_R2_001.fastq.gz	reverse
1027C-M-D00-P	1027C-M-D00-P_S95_L001_R2_001.fastq.gz	reverse
1027-M-D00-P	1027-M-D00-P_S24_L001_R2_001.fastq.gz	reverse
1028C-M-D00-P	1028C-M-D00-P_S133_L001_R2_001.fastq.gz	reverse
1028C-M-D00-V	1028C-M-D00-V_S26_L001_R2_001.fastq.gz	reverse
1028-M-D00-P	1028-M-D00-P_S32_L001_R2_001.fastq.gz	reverse
1029C-M-D00-P	1029C-M-D00-P_S111_L001_R2_001.fastq.gz	reverse
1029-M-D00-P	1029-M-D00-P_S110_L001_R2_001.fastq.gz	reverse
1030-M-D00-P	1030-M-D00-P_S181_L001_R2_001.fastq.gz	reverse
1031-M-D00-P	1031-M-D00-P_S70_L001_R2_001.fastq.gz	reverse
1032-M-D00-P	1032-M-D00-P_S7_L001_R2_001.fastq.gz	reverse
1033-M-D00-P	1033-M-D00-P_S14_L001_R2_001.fastq.gz	reverse
1036C-M-D00-P	1036C-M-D00-P_S182_L001_R2_001.fastq.gz	reverse
1036C-M-D00-V	1036C-M-D00-V_S100_L001_R2_001.fastq.gz	reverse
1036-M-D00-P	1036-M-D00-P_S52_L001_R2_001.fastq.gz	reverse
1037-M-D00-P	1037-M-D00-P_S69_L001_R2_001.fastq.gz	reverse
1038-M-D00-P	1038-M-D00-P_S145_L001_R2_001.fastq.gz	reverse
1039-M-D00-V	1039-M-D00-V_S18_L001_R2_001.fastq.gz	reverse
1041C-M-D00-P	1041C-M-D00-P_S158_L001_R2_001.fastq.gz	reverse
1041-M-D00-P-A	1041-M-D00-P-A_S39_L001_R2_001.fastq.gz	reverse
1041-M-D00-P-B	1041-M-D00-P-B_S44_L001_R2_001.fastq.gz	reverse
1045-M-D00-P	1045-M-D00-P_S121_L001_R2_001.fastq.gz	reverse
1045-M-D00-V	1045-M-D00-V_S48_L001_R2_001.fastq.gz	reverse
1047-M-D00-P	1047-M-D00-P_S71_L001_R2_001.fastq.gz	reverse
1050-M-D00-P	1050-M-D00-P_S135_L001_R2_001.fastq.gz	reverse
1050-M-D00-V	1050-M-D00-V_S170_L001_R2_001.fastq.gz	reverse
1051-M-D00-P1	1051-M-D00-P1_S169_L001_R2_001.fastq.gz	reverse
1052-M-D00-P2	1052-M-D00-P2_S98_L001_R2_001.fastq.gz	reverse
1052-M-D00-P3	1052-M-D00-P3_S122_L001_R2_001.fastq.gz	reverse
